[2024-12-02 10:48:46.898] [info]  [db] Initialized DB client
[2024-12-02 10:48:46.933] [info]  Redirecting to last visited project proj_b99aac010b5b4bc691eada2107f5ef52
[2024-12-02 10:48:47.090] [info]  [FileSystemDriver] Initialized in "/home/mattia/.config/Insomnia/version-control"
[2024-12-02 10:48:47.094] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 10:48:47.094] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:48:47.095] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.b5b565a5-f068-4724-8d29-7a4f15de782c.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:48:47.129] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 10:48:47.130] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:48:47.130] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.5edebd85-1328-480a-8db5-490f9d62c6b4.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:48:47.923] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 10:48:47.923] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:48:47.924] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.2f04a798-9464-448f-9694-d0460af62c90.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:49:04.421] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 10:49:04.421] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:49:04.422] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.6fd8f452-8135-4521-a0dd-226b5bf5682f.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:49:04.682] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 10:49:04.682] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:49:04.683] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.36e22800-71ce-41e8-b027-1045bbe627af.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:49:04.692] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 10:49:04.693] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:49:04.693] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.e0692fa5-9840-4e0b-b2d5-73bbcc850583.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:49:05.210] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 10:49:05.210] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:49:05.210] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.ae436534-5538-4fe7-ab5a-73bc93e38c50.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:49:05.379] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 10:49:05.379] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:49:05.379] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.688fdab3-3f88-4def-bf78-d739fcbe9abc.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:49:05.953] [info]  [network] Response succeeded req=req_f93fe2c3eed5484b8d89ac4a3aee769a status=200
[2024-12-02 10:49:06.048] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 10:49:06.048] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:49:06.048] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.acef16d2-640b-4d41-b273-e7a1b80451b3.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:49:47.977] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 10:49:47.977] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:49:47.978] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.f02a3df4-f51f-4bcb-8a8f-dcdacf984dc4.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:50:47.982] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 10:50:47.982] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:50:47.983] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.75cbee93-4d40-4ba3-b8a5-b0b91d5084bc.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:51:47.983] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 10:51:47.983] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:51:47.983] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.45dca1c2-b512-4caa-809a-f645e5619614.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:52:48.003] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 10:52:48.003] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:52:48.003] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.715147e1-ea2b-40d6-bc73-4b4d1d0e2538.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:53:47.982] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 10:53:47.982] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:53:47.983] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.f297b177-8219-4c42-bda9-5a59fb4501d8.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:54:47.970] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 10:54:47.970] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:54:47.970] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.5843efa9-e432-41a8-a73a-254cb1364f2a.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:55:47.984] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 10:55:47.984] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:55:47.984] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.bc1ef852-7a16-48bb-b852-9f64da3f091d.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:56:47.976] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 10:56:47.976] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:56:47.976] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.040e7db7-98aa-49ee-9950-c294a2f9643b.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:57:47.980] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 10:57:47.980] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:57:47.981] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.872192f0-61bc-4930-a8e9-8c33101776ae.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:58:47.978] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 10:58:47.978] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:58:47.980] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.f7f5382e-8a8b-4173-a0c5-13b87c919a3e.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:59:47.970] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 10:59:47.970] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 10:59:47.971] [info]  [FileSystemDriver] Writing to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json.f433886a-de1d-4988-850f-32a35719ca2c.tmp then renaming to /home/mattia/.config/Insomnia/version-control/projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
[2024-12-02 11:00:47.978] [info]  [sync] Activated project prj_7e96db55f0d9493db423d7b59e388117
[2024-12-02 11:00:47.978] [info]  [FileSystemDriver] Writing to /projects/prj_7e96db55f0d9493db423d7b59e388117/meta.json
